Area,All Ages,Aged 0 to 17,Aged 18 to 24,Aged 25 to 49,Aged 50 to 64,Aged 65+
Conwy,"114,891","20,348","6,475","29,671","25,846","32,551"
Denbighshire,"98,202","19,403","6,146","26,777","21,233","24,643"
Flintshire,"155,867","30,746","9,828","46,760","34,081","34,452"
Wrexham,"138,245","28,008","9,788","43,297","28,422","28,730"
Powys,"135,059","23,306","7,479","34,328","30,975","38,971"
Ceredigion,"72,599","11,396","9,374","17,343","15,327","19,159"
Pembrokeshire,"125,761","23,329","7,783","33,019","27,674","33,956"
Carmarthenshire,"190,800","36,437","12,164","53,103","41,205","47,891"
Swansea,"251,304","47,839","27,745","78,728","46,025","50,967"
Neath Port Talbot,"143,249","27,823","11,767","43,405","29,018","31,236"
Bridgend,"147,530","28,785","9,817","46,234","30,947","31,747"
Vale of Glamorgan,"135,743","28,172","8,405","40,779","27,533","30,854"
Cardiff,"383,919","75,752","57,620","135,335","59,278","55,934"
Rhondda Cynon Taff,"242,844","48,698","18,882","78,440","48,262","48,562"
Merthyr Tydfil,"58,972","12,551","4,100","18,872","11,887","11,562"
Caerphilly,"176,865","35,817","12,342","55,671","36,381","36,654"
Blaenau Gwent,"67,873","13,446","4,563","21,203","14,601","14,060"
Torfaen,"94,119","19,409","6,407","29,474","18,901","19,928"
Monmouthshire,"94,930","17,083","5,032","25,750","21,842","25,223"
Newport,"167,899","38,126","11,745","59,058","30,722","28,248"
