district_code,district_name,district_type,country,area_km2,centroid_lat,centroid_lon
E07000151,Daventry,LAD,England,665.6468499571836,52.31605094742079,-1.0480431956977392
E07000152,East Northamptonshire,LAD,England,509.71588017143733,52.45769934235294,-0.523431666044589
E07000153,Kettering,LAD,England,233.49996946461263,52.42616989838143,-0.7654983876910746
E07000154,Northampton,LAD,England,80.73191846684124,52.241254415134435,-0.8868986827576737
E07000155,South Northamptonshire,LAD,England,634.0624946696684,52.12263093403808,-1.0426604934306067
E07000156,Wellingborough,LAD,England,163.09937862822724,52.287800757347824,-0.7123442835826485
E07000163,Craven,LAD,England,1178.9286561126169,54.07988342723146,-2.174587791369991
E07000164,Hambleton,LAD,England,1311.172483180638,54.28706826285498,-1.3192413860389092
E07000165,Harrogate,LAD,England,1309.0190641550437,54.067152190730035,-1.595814677714223
E07000166,Richmondshire,LAD,England,1318.7183675128454,54.36151300681325,-1.9340488036278636
E07000167,Ryedale,LAD,England,1506.6267810393615,54.21059352263606,-0.8522949592896027
E07000168,Scarborough,LAD,England,816.6133914016566,54.366516222561785,-0.6373369480171202
E07000169,Selby,LAD,England,599.2902128758302,53.787170482318594,-1.13517909541092
E07000170,Ashfield,LAD,England,109.5497669111779,53.09228242640968,-1.259157540399091
E07000171,Bassetlaw,LAD,England,637.852264294466,53.332829283265326,-0.9593490927640698
E07000172,Broxtowe,LAD,England,80.13242768322208,52.97647048200647,-1.2621123914132568
E07000173,Gedling,LAD,England,119.96470151311017,53.02839901683333,-1.1193550204991651
E07000174,Mansfield,LAD,England,76.66730229371183,53.170721357508114,-1.172775959036632
E07000175,Newark and Sherwood,LAD,England,651.3611199370927,53.12393725455099,-0.9198477472197445
E07000176,Rushcliffe,LAD,England,409.2349206936663,52.90086471137169,-1.037517688450015
E07000177,Cherwell,LAD,England,588.7283194542256,51.95890680786042,-1.2758550387569618
E07000178,Oxford,LAD,England,45.62194669754245,51.75460815078325,-1.2409715295373525
E07000179,South Oxfordshire,LAD,England,678.4385757516105,51.63386768470185,-1.071480221946007
E07000180,Vale of White Horse,LAD,England,578.6878464088105,51.63422818976113,-1.4415818309413861
E07000181,West Oxfordshire,LAD,England,714.4246544457349,51.83766361536415,-1.5068593086767295
E07000187,Mendip,LAD,England,739.3932166861919,51.20288922371181,-2.5445463984304224
E07000188,Sedgemoor,LAD,England,564.3656662265947,51.17990723596346,-2.9464950316366676
E07000189,South Somerset,LAD,England,959.0139422039564,50.98810679278749,-2.7095557034051847
E07000190,Taunton Deane,LAD,England,462.31791110135333,51.01050040833428,-3.1573040267008565
E07000191,West Somerset,LAD,England,726.950347699126,51.131795457213315,-3.49680241899825
E07000192,Cannock Chase,LAD,England,78.89248886600086,52.71240685099618,-1.9802317112002734
E07000193,East Staffordshire,LAD,England,389.98801996583927,52.86334020676278,-1.8122668257393033
E07000194,Lichfield,LAD,England,331.27005847975835,52.6882075951967,-1.804980729004612
E07000195,Newcastle-under-Lyme,LAD,England,210.96277057748716,52.99318087487387,-2.318748634274032
E07000196,South Staffordshire,LAD,England,407.32732780372874,52.625577445068274,-2.176672325240626
E07000197,Stafford,LAD,England,598.186618238341,52.848188525266536,-2.1764852912137123
E07000198,Staffordshire Moorlands,LAD,England,575.8249328581087,53.07939054700821,-1.9812604561209557
E07000199,Tamworth,LAD,England,30.856867397305763,52.626424751852205,-1.6778592209215493
E07000200,Babergh,LAD,England,595.2654871440416,52.052897220667205,0.9079204964339553
E07000201,Forest Heath,LAD,England,377.75995506291594,52.3548085865355,0.5315824987574499
